test_start,test_end,stock_a,stock_b,sector,cluster,correlation,cointegration_pvalue,spread_adf_pvalue,half_life,pair_score,Total Return,CAGR,Annualized Volatility,Sharpe,Max Drawdown,Win Rate
2022-01-07,2022-07-11,HDFCBANK,KOTAKBANK,BANKING,0,0.6136839452707292,0.026191125450121953,0.006200296323123107,8.7925125495279,-0.30902205279069833,-0.0888747569688021,-0.16985079151134053,0.11985196677630486,-1.4927017891345409,-0.11722254766923257,0.03968253968253968
2022-04-11,2022-10-12,JSWSTEEL,TATASTEEL,METALS,1,0.8221036475245309,0.015180632518985973,0.003416492165898341,7.316471785983418,-0.6063772815566445,-0.029468391271220695,-0.05806839645832762,0.02291434925927844,-2.598957505603933,-0.029468391271220695,0.0
2022-04-11,2022-10-12,HCLTECH,TECHM,IT,2,0.6025158068102463,0.07103987864078576,0.020693774103668707,16.88912029521096,0.30774670781283664,-0.023840537279282814,-0.047112703340800755,0.052198008873910115,-0.8984994999466202,-0.05217162179736312,0.047619047619047616
2022-07-12,2023-01-11,JSWSTEEL,TATASTEEL,METALS,0,0.8593867737724947,0.0016255131997398994,0.00027818538354721923,14.090933641867906,-0.7604784127870959,-0.023263680947559595,-0.04598616304388936,0.07637244987904557,-0.5784886703659206,-0.05782451078508111,0.09523809523809523
2022-07-12,2023-01-11,ICICIBANK,SBIN,BANKING,1,0.6338869476281808,0.054569060285726154,0.015128665546884865,8.650951638724555,-0.015829380904755733,-0.08524948368288288,-0.16323149289756766,0.08423766107863524,-2.0728421462390934,-0.10390348434081409,0.14285714285714285
2022-07-12,2023-01-11,HCLTECH,TCS,IT,2,0.6354092508863445,0.053390334992415064,0.014714634247996728,8.656926634479614,-0.030500530907795927,0.01737613670456173,0.035054203535899164,0.06695631556716591,0.5473916980428958,-0.03237036493176515,0.03968253968253968
2022-10-13,2023-04-18,HDFCBANK,KOTAKBANK,BANKING,0,0.6397626252894841,0.027099022003313728,0.006569032310969732,11.126347376166592,-0.32653836080010584,0.03452161342743265,0.07023496864849843,0.07682710384932669,0.9217320627248176,-0.040470032677884626,0.11904761904761904
2022-10-13,2023-04-18,ICICIBANK,SBIN,BANKING,0,0.6494211212759923,0.05014981551378855,0.013688856742480607,7.977890022928152,-0.06641419636922802,0.0009644925361702583,0.0019299153181928652,0.06344170548978592,0.061962370863667834,-0.04026981280281028,0.0873015873015873
2022-10-13,2023-04-18,INFY,TCS,IT,0,0.7308675935628351,0.06243213458228397,0.017648690203420157,11.293690246004383,-0.027726372209647313,-0.011949238429495579,-0.02375569255994625,0.1561951171477236,-0.0781487279321842,-0.1291272011664517,0.16666666666666666
2023-01-12,2023-07-18,TCS,WIPRO,IT,2,0.6907925519510396,0.08972973406361079,0.027643543921451647,9.597768860584745,0.29748004323772825,-0.012111901333343389,-0.024077104512778114,0.05430268681330265,-0.4219420800845377,-0.0485730464263624,0.07936507936507936
2023-04-19,2023-10-18,HINDALCO,TATASTEEL,METALS,1,0.7649161905173463,0.0013040189010695307,0.00021719639879073295,5.37770123501118,-0.6587784370105024,0.01596395498277725,0.03218275782424662,0.05815794917275285,0.5735427790791591,-0.03838658461436062,0.11904761904761904
2023-04-19,2023-10-18,HINDALCO,JSWSTEEL,METALS,1,0.6849685151878018,0.007086040615528042,0.0013978902492931614,10.291147770084228,-0.6040914828829573,0.040585027815601915,0.08281720011399707,0.06588608330165498,1.2403178009332243,-0.022991099289288663,0.09523809523809523
2023-04-19,2023-10-18,TATASTEEL,VEDL,METALS,1,0.6632287989472089,0.08781853082633373,0.02690100118947379,9.64127922410664,0.302833928402417,0.06951231145029624,0.14385658434375537,0.061014827106557916,2.233307820853472,-0.01532723454822238,0.05555555555555555
2024-04-29,2024-10-29,HCLTECH,TCS,IT,1,0.6490407858645177,0.0792830636983402,0.02369564886121949,9.128264887849229,0.2323114999455582,0.08103535557149688,0.16863743999559277,0.08206354042190406,1.9397484215426222,-0.0226199059770672,0.12698412698412698
2024-07-31,2025-01-29,HINDALCO,JSWSTEEL,METALS,2,0.6029758983880863,0.06775369848459827,0.019287553956319856,7.753291419609654,0.17735791993466293,-0.019084961192973426,-0.03780568664220951,0.11531402843780467,-0.2770282327641899,-0.0485535508280992,0.047619047619047616
