Date,APOLLOHOSP,AXISBANK,BAJAJ_AUTO,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,ICICIBANK,INFY,JSWSTEEL,KOTAKBANK,MARUTI,SBIN,SUNPHARMA,TATASTEEL,TCS,TECHM,VEDL,WIPRO
2021-01-01,2383.683349609375,621.2062377929688,3044.287109375,796.1806640625,86.33709716796875,3733.72119140625,1015.8335571289062,2424.21337890625,773.9392700195312,674.8863525390625,2560.681396484375,230.024169921875,510.1914367675781,1109.599609375,368.8980712890625,397.15081787109375,7371.63134765625,257.8070068359375,562.5928955078125,55.3630256652832,2569.267822265625,820.8375854492188,76.90364837646484,178.88047790527344
2021-01-04,2378.156005859375,622.1024780273438,3080.31591796875,801.622802734375,87.5490493774414,3746.5263671875,1021.8222045898438,2531.94775390625,798.2852172851562,670.6004028320312,2512.15283203125,245.41700744628906,514.253662109375,1134.07275390625,381.582763671875,391.4745178222656,7382.17431640625,259.3294677734375,570.282958984375,59.658817291259766,2666.835205078125,840.9818725585938,81.626220703125,182.7060546875
2021-01-05,2477.06201171875,661.6871948242188,3054.256103515625,796.8068237304688,86.20950317382812,3726.979736328125,1024.66162109375,2550.2529296875,807.2010498046875,675.667724609375,2531.423828125,241.55674743652344,519.62158203125,1138.9583740234375,374.1517639160156,390.3193359375,7337.271484375,259.9754638671875,569.386474609375,58.58701705932617,2713.8203125,842.5765380859375,81.02690887451172,187.2690887451172
2021-01-06,2469.856689453125,651.5296630859375,3028.0654296875,794.4469604492188,86.17761993408203,3763.5986328125,1024.93310546875,2522.080078125,796.4937744140625,672.7551879882812,2544.91796875,250.0010528564453,528.7614135742188,1128.65869140625,380.25750732421875,392.44049072265625,7311.53759765625,263.02032470703125,571.1320190429688,58.86679458618164,2677.408935546875,836.9530029296875,86.44468688964844,187.31520080566406
2021-01-07,2476.17431640625,668.3095703125,3006.422119140625,796.1325073242188,87.07064056396484,3689.10009765625,1021.560791015625,2526.32275390625,783.7509155273438,670.7188110351562,2521.56103515625,263.3672790527344,523.3451538085938,1111.0963134765625,383.760009765625,388.85546875,7251.5869140625,265.465576171875,567.9239501953125,62.224220275878906,2661.00048828125,834.9385375976562,88.93781280517578,187.4765167236328
2021-01-08,2520.543701171875,669.90283203125,3086.1748046875,807.83544921875,89.11186218261719,3743.518798828125,1034.6138916015625,2632.19775390625,809.8881225585938,678.011962890625,2608.92138671875,258.8314514160156,524.2639770507812,1155.0682373046875,381.34613037109375,392.5002136230469,7681.7822265625,263.8969421386719,585.757080078125,61.39348220825195,2738.30078125,882.2356567382812,87.28373718261719,198.28494262695312
2021-01-11,2517.6318359375,664.1768798828125,3163.303955078125,825.3174438476562,90.38762664794922,3707.869873046875,1049.8377685546875,2647.73828125,859.109375,687.388916015625,2639.128173828125,255.45370483398438,526.8270874023438,1211.4967041015625,377.74896240234375,386.017333984375,7890.57763671875,260.66741943359375,585.9458618164062,59.88694763183594,2787.0400390625,904.4781494140625,85.89331817626953,205.93612670898438
2021-01-12,2484.76171875,672.8904418945312,3169.337646484375,812.1217041015625,93.54512023925781,3654.614990234375,1037.637451171875,2747.36865234375,864.808837890625,701.3836059570312,2680.84765625,255.11595153808594,530.018798828125,1207.5794677734375,378.22222900390625,379.1061706542969,7847.73583984375,269.8946228027344,575.2365112304688,59.8223762512207,2785.63671875,893.2310180664062,86.8282470703125,210.96002197265625
2021-01-13,2447.202880859375,684.9400634765625,3148.918701171875,810.7250366210938,93.00291442871094,3607.9560546875,1025.2625732421875,2734.974365234375,859.8013305664062,696.4818725585938,2687.9052734375,253.475341796875,538.2398681640625,1221.1363525390625,381.4407958984375,374.8539733886719,7801.53955078125,283.0894470214844,568.3013916015625,61.04912567138672,2771.685302734375,897.8054809570312,86.54058074951172,211.5592498779297
2021-01-14,2479.579345703125,673.1891479492188,3127.18798828125,809.9544677734375,93.54512023925781,3613.097412109375,1028.9256591796875,2752.087890625,836.799072265625,695.58203125,2695.99267578125,252.26898193359375,535.1448364257812,1206.47900390625,375.2403564453125,376.95513916015625,7810.740234375,283.5046691894531,572.783203125,60.808082580566406,2857.614990234375,883.4947509765625,84.5748519897461,209.41600036621094
