entry_date,exit_date,stock_a,stock_b,direction,entry_z,exit_z,entry_spread,exit_spread,holding_days,entry_price_a,entry_price_b,exit_price_a,exit_price_b,gross_trade_return,net_trade_return,exit_reason,test_start,test_end
2022-04-12,2022-05-05,HDFCBANK,KOTAKBANK,LONG_SPREAD,-2.215720750476956,-0.4264205943580749,-250.77736319516566,-674.6995998097598,15,710.3646850585938,359.0489196777344,643.5137939453125,358.2020263671875,-0.08542758650567592,-0.08742758650567592,MEAN_REVERSION_EXIT,2022-01-07,2022-07-11
2022-05-17,2022-06-03,HDFCBANK,KOTAKBANK,SHORT_SPREAD,3.077375721610172,0.4941190450841352,-213.79527087484826,489.50866989940585,14,632.2544555664062,366.7107543945313,664.1558227539062,370.3673095703125,-0.04575458916013512,-0.04775458916013512,MEAN_REVERSION_EXIT,2022-01-07,2022-07-11
2022-06-28,2022-07-08,HCLTECH,TECHM,SHORT_SPREAD,2.3739289505616865,0.3368437424221727,525.8649922697211,514.4622742973418,9,866.7850952148438,888.4513549804688,850.8672485351562,893.4998168945312,0.020503643523603815,0.018503643523603813,MEAN_REVERSION_EXIT,2022-04-11,2022-10-12
2022-07-12,2022-08-05,HCLTECH,TECHM,LONG_SPREAD,-2.0146235278267812,0.3266240161771041,444.0218155245863,622.218397938226,19,802.6380004882812,868.126708984375,837.8541259765625,948.3035278320312,0.0228745218793078,0.0208745218793078,MEAN_REVERSION_EXIT,2022-04-11,2022-10-12
2022-09-12,2022-09-19,HCLTECH,TECHM,SHORT_SPREAD,2.3321623699871945,0.46687662749452247,616.5591320450354,483.13944121688615,6,835.9293823242188,1030.65966796875,785.4088134765625,931.5455932617188,0.02923242131974557,0.02723242131974557,MEAN_REVERSION_EXIT,2022-04-11,2022-10-12
2022-06-21,2022-07-18,JSWSTEEL,TATASTEEL,SHORT_SPREAD,2.418417656664274,0.6681595561428947,226.59595337882,547.5696049907457,20,550.7757568359375,82.0771255493164,577.4022216796875,83.8860092163086,-0.04050583699201577,-0.04250583699201577,TIME_STOP,2022-04-11,2022-10-12
2022-07-22,2022-08-19,JSWSTEEL,TATASTEEL,LONG_SPREAD,-2.135426892454047,-0.45134330991608984,360.98669824047187,173.87543290256372,19,573.9531860351562,86.83125305175781,654.8555297851562,102.0862045288086,-0.6867853078170053,-0.6887853078170053,MEAN_REVERSION_EXIT,2022-04-11,2022-10-12
2022-09-06,2022-09-13,JSWSTEEL,TATASTEEL,LONG_SPREAD,-2.131077993404978,3.5186237838863406,141.57766615018988,469.83006616601955,6,674.5638427734375,100.74112701416016,680.968994140625,99.95264434814452,0.026028541830733384,0.024028541830733385,ZSCORE_STOP,2022-04-11,2022-10-12
2022-09-14,2022-09-27,JSWSTEEL,TATASTEEL,SHORT_SPREAD,2.5634007682750752,0.3424649037734674,459.62316543705504,446.5847133964441,10,682.7427368164062,101.25133514404295,627.70751953125,90.58353424072266,-0.13005872028061455,-0.13205872028061455,MEAN_REVERSION_EXIT,2022-04-11,2022-10-12
2022-10-17,2022-11-14,HCLTECH,TCS,LONG_SPREAD,-2.5154962349828556,-0.30670270461344873,279.13976396246676,-720.25790067569,19,870.0908203125,2798.178955078125,971.0437622070312,2999.382080078125,0.0754797052104085,0.0734797052104085,MEAN_REVERSION_EXIT,2022-07-12,2023-01-11
